applicant_id,age,job_tenure,income,requested_amount,dti,revolving_util,delinquency_2y,bureau_inquiries,default
PROP-000048,40,7.3,2540.95,7529.43,17.4,35.5,0,2,0
PROP-000049,46,0.3,2447.05,3118.5,20.2,6.8,0,2,0
PROP-000050,38,1.9,6161.78,21017.93,31.4,40.6,0,2,0
PROP-000051,41,2.9,5223.07,15367.77,29.7,41.9,0,3,0
PROP-000052,45,0.7,4294.33,9065.19,33.3,56.4,1,2,1
PROP-000053,20,0.5,3234.51,7830.33,41.1,33.2,0,3,1
PROP-000054,34,0.1,4481.4,14374.85,7.4,34.0,0,4,0
PROP-000055,32,1.6,1944.91,4607.35,38.7,72.8,1,0,1
PROP-000056,30,1.6,3022.06,5378.99,46.1,1.8,2,2,1
PROP-000057,34,6.0,3938.04,3297.47,25.1,11.4,1,1,0
PROP-000058,55,0.8,6772.1,16787.35,22.4,35.2,0,2,0
PROP-000059,27,4.4,7978.32,14621.82,7.8,26.3,0,2,1
PROP-000060,49,5.9,1412.0,1718.7,30.2,17.8,0,2,0
PROP-000061,18,0.1,1713.89,3378.81,10.2,20.8,0,2,1
PROP-000062,33,1.7,6830.72,21751.93,12.3,31.9,0,2,0
PROP-000063,39,3.4,4730.33,5199.9,33.3,11.7,0,3,0
PROP-000064,45,1.5,6483.06,20653.14,11.2,7.4,0,0,1
PROP-000065,46,2.8,3061.53,8902.07,12.4,38.0,2,1,0
PROP-000066,47,2.0,3165.51,5913.28,30.3,15.8,0,1,0
PROP-000067,33,0.1,2857.81,4547.01,46.7,28.5,0,2,0
PROP-000068,32,0.9,1412.0,1592.85,59.1,10.6,1,1,0
PROP-000069,48,3.0,2271.12,2963.86,39.4,35.1,1,0,0
PROP-000070,35,3.9,2343.99,3181.08,38.7,17.9,1,3,0
PROP-000071,22,2.8,2550.19,5056.88,14.7,35.5,0,2,0
PROP-000072,24,3.0,2480.54,6594.32,11.7,47.9,0,2,0
PROP-000073,26,5.4,2562.2,7482.83,15.1,15.8,4,1,0
PROP-000074,43,4.2,3859.02,6852.61,7.2,20.5,2,0,0
PROP-000075,39,2.9,6187.19,14118.38,24.5,18.3,3,0,0
PROP-000076,46,1.9,1412.0,1531.31,14.2,31.8,1,1,0
PROP-000077,32,5.9,2529.51,4590.75,65.7,28.3,2,4,1
PROP-000078,39,0.6,2586.2,7459.27,35.2,70.9,1,2,1
PROP-000079,45,5.9,1772.6,4626.28,13.4,69.7,2,2,0
PROP-000080,34,0.1,8641.37,12585.85,42.1,31.5,0,0,0
PROP-000081,43,9.6,2283.03,4311.55,29.3,29.9,0,2,0
PROP-000082,30,8.4,5695.77,7049.44,31.8,43.4,0,1,0
PROP-000083,33,0.1,2764.36,7323.01,25.4,12.1,0,0,0
PROP-000084,33,5.9,9500.23,12000.69,51.2,36.5,2,2,1
PROP-000085,23,1.8,2670.79,2553.39,41.1,43.3,0,1,1
PROP-000086,43,10.1,2558.74,1882.64,42.8,75.5,3,1,1
PROP-000087,32,4.5,3977.3,7896.64,49.7,46.6,2,4,1
PROP-000088,38,3.0,10915.01,21680.9,25.7,20.0,0,2,0
PROP-000089,43,8.2,5960.97,4732.19,11.2,52.1,1,1,0
PROP-000090,43,9.4,2978.21,4861.74,48.6,37.2,1,5,0
PROP-000091,45,0.5,4933.7,12122.2,19.2,13.4,2,1,1
PROP-000092,36,10.0,3141.07,9225.42,31.9,61.8,3,2,1
PROP-000093,32,1.3,10803.11,10981.36,5.6,20.2,1,1,0
PROP-000094,37,8.4,7076.95,8613.61,51.0,58.0,1,1,0
PROP-000095,18,0.1,4338.19,10932.71,24.3,41.1,3,2,0
PROP-000096,20,1.4,4972.71,10574.36,30.9,62.9,0,4,0
PROP-000097,22,1.8,3029.67,4681.23,29.4,75.2,2,5,0
PROP-000098,26,1.6,4442.34,5493.33,46.3,40.0,3,1,0
PROP-000099,42,2.4,6276.58,19011.93,16.7,39.7,0,1,0
PROP-000100,27,1.1,7560.8,13236.19,8.3,20.5,0,3,0
PROP-000101,33,10.5,3434.07,9537.1,19.3,44.0,0,4,0
PROP-000102,53,0.5,1412.0,2174.74,24.9,67.5,3,3,0
PROP-000103,33,3.6,6738.22,15938.48,17.9,60.5,0,4,0
PROP-000104,46,1.2,3047.26,6934.71,48.1,25.8,1,1,0
PROP-000105,26,4.4,7360.15,8480.85,12.9,31.4,0,3,0
PROP-000106,35,11.9,1779.94,5462.37,11.2,20.5,0,3,0
PROP-000107,26,5.6,5394.51,11711.83,14.1,34.3,2,1,0
PROP-000108,33,0.6,3926.67,12793.69,20.7,31.8,2,1,0
PROP-000109,48,10.6,3396.33,10067.68,12.1,24.0,2,2,0
PROP-000110,18,0.1,10621.95,12233.72,25.7,51.3,2,3,1
PROP-000111,43,17.5,2869.37,2594.52,20.9,58.2,0,1,0
PROP-000112,40,10.8,10046.84,30855.47,31.4,24.0,0,0,0
PROP-000113,30,6.0,16369.28,47557.02,28.2,75.2,0,1,0
PROP-000114,20,1.4,2085.29,3710.03,31.1,26.5,1,2,1
PROP-000115,38,5.1,2572.5,4870.23,24.3,71.8,0,0,0
PROP-000116,31,1.0,4033.36,5084.36,28.1,37.6,0,4,0
PROP-000117,40,6.7,3881.74,10280.9,46.5,67.2,1,1,0
PROP-000118,38,0.8,8627.09,16567.02,26.8,72.3,2,2,1
PROP-000119,57,3.1,8614.61,19926.15,39.0,8.7,0,5,1
PROP-000120,35,1.0,3311.68,4493.42,27.6,52.0,0,3,1
PROP-000121,25,4.9,2776.48,8282.35,8.8,34.2,1,1,0
PROP-000122,40,2.9,3645.4,3531.15,22.6,50.1,2,2,0
PROP-000123,40,8.4,5066.64,12781.76,30.7,77.7,1,5,1
PROP-000124,54,2.4,2233.45,1926.54,34.4,63.3,2,4,1
PROP-000125,48,0.3,2089.02,6559.94,15.6,42.1,0,1,0
PROP-000126,42,0.5,2830.06,8174.47,62.9,13.5,0,1,0
PROP-000127,55,9.1,3380.43,4317.3,11.1,19.6,5,4,0
PROP-000128,23,1.3,3553.54,4478.33,14.9,41.6,3,3,1
PROP-000129,30,1.4,1412.0,3165.7,16.3,68.2,1,1,1
PROP-000130,26,5.6,3439.15,3991.64,12.4,37.4,0,2,0
PROP-000131,33,3.1,2029.52,5950.69,59.0,28.2,2,3,0
PROP-000132,21,2.1,4628.02,12599.28,55.6,55.1,0,4,0
PROP-000133,45,2.0,2082.32,2318.44,9.2,20.0,2,3,0
PROP-000134,35,6.8,5400.12,15369.46,50.0,33.5,0,0,0
PROP-000135,20,1.4,4004.91,8153.85,32.0,25.0,1,2,1
PROP-000136,25,4.9,10427.84,18519.62,12.9,66.8,0,1,0
PROP-000137,41,0.8,5272.14,3446.31,17.9,79.1,1,2,1
PROP-000138,48,3.9,3950.49,4494.32,21.0,48.9,0,3,0
PROP-000139,61,8.5,4298.99,4066.73,29.9,58.4,0,2,0
PROP-000140,72,7.7,4581.97,10251.22,21.7,66.8,3,4,0
PROP-000141,42,0.1,3108.13,6693.03,27.4,58.2,0,2,0
PROP-000142,26,1.3,3810.34,9347.51,12.8,48.3,0,3,0
PROP-000143,18,0.1,3271.78,2375.21,71.0,30.6,2,3,0
PROP-000144,41,5.8,3580.49,4246.51,28.5,86.2,0,3,0
PROP-000145,28,3.4,3371.79,5773.0,21.8,34.1,1,2,0
PROP-000146,33,0.2,3553.1,11618.72,47.8,43.0,2,3,1
PROP-000147,30,3.2,4318.2,4849.91,63.9,56.5,3,2,1
PROP-000148,36,1.0,6187.64,9413.82,27.3,35.9,0,3,0
PROP-000149,50,1.2,7691.76,17850.96,38.4,27.3,3,4,1
PROP-000150,39,2.6,3043.33,2720.04,38.4,41.3,0,0,0
PROP-000151,36,4.0,1898.81,5773.06,41.0,36.4,2,4,1
PROP-000152,25,4.9,7088.7,19423.15,9.0,26.9,0,0,0
PROP-000153,18,0.1,16192.02,16196.63,33.9,88.5,2,3,1
PROP-000154,32,0.7,6081.73,18032.36,29.7,74.0,0,2,1
PROP-000155,37,0.6,3625.17,5199.68,45.2,40.5,3,2,0
PROP-000156,59,0.7,5063.99,5927.72,58.0,1.1,1,2,0
PROP-000157,39,2.4,4862.31,2500.55,27.9,25.3,0,1,0
PROP-000158,49,0.2,4330.22,3649.47,30.9,17.8,0,1,0
PROP-000159,32,9.8,2584.08,2007.37,49.9,34.3,0,3,0
PROP-000160,23,0.9,8014.95,4076.49,17.1,27.8,0,2,0
PROP-000161,26,3.1,2753.1,3763.16,15.3,25.9,2,4,0
PROP-000162,29,5.0,7887.98,12138.13,26.4,11.3,0,3,0
PROP-000163,63,14.4,6126.57,16268.25,47.5,21.3,1,4,0
PROP-000164,28,0.3,10368.69,31960.37,65.6,47.6,2,4,0
PROP-000165,48,2.2,6824.26,5117.64,25.8,31.6,0,4,0
PROP-000166,27,1.9,1412.0,2897.73,17.0,11.9,0,0,0
PROP-000167,49,7.1,1903.08,3881.97,20.1,42.1,0,2,0
PROP-000168,42,1.4,4606.08,2509.19,35.0,24.3,0,0,0
PROP-000169,36,2.0,12113.78,34700.36,17.7,72.7,2,1,0
PROP-000170,37,0.7,3492.02,5144.55,57.5,45.5,2,7,1
PROP-000171,30,0.7,1941.19,2195.11,23.3,29.7,1,1,0
PROP-000172,43,0.2,7138.67,23040.21,28.0,47.7,0,1,0
PROP-000173,32,6.0,11807.8,38853.11,29.8,41.1,1,4,0
PROP-000174,23,3.5,2749.14,6880.53,55.1,34.9,2,1,0
PROP-000175,22,0.8,3221.7,10084.46,16.8,44.4,0,3,0
PROP-000176,40,5.3,11818.81,29866.48,56.7,66.1,0,2,0
PROP-000177,56,2.6,2059.03,4585.26,22.8,24.7,0,2,0
PROP-000178,39,2.7,2335.42,7672.21,33.7,41.0,0,1,0
PROP-000179,36,5.9,2314.8,3575.67,54.9,38.3,0,1,0
PROP-000180,41,2.1,4901.64,6651.68,32.7,25.3,0,2,0
PROP-000181,53,3.6,3736.82,2514.45,42.0,46.6,7,0,1
PROP-000182,40,5.8,3087.52,10187.71,17.6,28.9,1,1,0
PROP-000183,33,1.4,7496.0,7500.55,7.9,43.5,1,0,0
PROP-000184,51,8.6,7253.94,7072.4,7.7,67.2,0,0,0
PROP-000185,43,10.2,10561.1,6514.79,4.1,65.7,0,1,0
PROP-000186,56,8.7,4590.71,9927.15,23.8,76.3,0,5,0
PROP-000187,40,0.1,7048.87,7652.73,10.4,45.6,1,2,0
PROP-000188,23,1.7,2231.67,3353.58,26.5,49.5,3,1,0
PROP-000189,21,2.1,6832.08,15912.63,42.7,43.2,0,2,1
PROP-000190,57,2.3,7035.2,12270.43,10.8,10.9,0,0,0
PROP-000191,58,0.3,2758.69,4434.93,46.6,15.4,0,3,0
PROP-000192,35,4.7,6371.13,3790.67,21.9,52.3,1,2,1
PROP-000193,33,3.1,5133.24,15583.08,17.4,25.3,0,0,0
PROP-000194,55,1.2,5851.59,17441.79,11.8,41.1,2,1,0
PROP-000195,24,0.5,7836.94,26080.91,17.9,35.3,3,2,0
PROP-000196,27,1.9,4930.76,7312.09,6.0,32.9,0,0,0
PROP-000197,45,4.7,8899.06,12050.55,38.7,44.9,0,3,0
PROP-000198,33,3.0,2274.38,6802.27,22.3,80.3,1,2,0
PROP-000199,37,0.6,2644.57,2605.27,18.1,13.5,0,1,0
PROP-000200,36,0.6,4030.54,4925.54,22.0,22.4,0,3,0
PROP-000201,42,6.0,2796.36,6132.78,47.9,16.1,0,3,0
PROP-000202,54,0.5,5187.45,12448.93,37.5,28.9,0,3,0
PROP-000203,39,3.6,3627.8,7779.72,17.2,47.7,0,1,0
PROP-000204,45,0.6,3713.33,9725.86,31.4,33.7,0,4,0
PROP-000205,18,0.1,3649.29,8066.2,50.0,41.1,1,2,1
PROP-000206,37,2.9,5126.23,9441.06,9.1,46.7,0,1,0
PROP-000207,27,0.5,4426.93,3044.77,43.3,29.6,1,2,0
PROP-000208,23,3.5,5537.4,17670.7,22.1,62.2,1,2,0
PROP-000209,27,6.3,3517.37,5087.86,55.1,26.0,2,4,1
PROP-000210,33,1.3,1467.73,3246.55,23.3,25.4,3,1,0
PROP-000211,48,2.7,6925.55,20657.36,5.9,31.4,0,1,0
PROP-000212,22,2.8,2781.74,6027.12,46.7,22.9,1,1,1
PROP-000213,38,1.6,5257.66,2634.92,30.6,29.7,0,3,1
PROP-000214,32,1.8,4437.38,7198.29,23.8,40.2,3,2,0
PROP-000215,34,0.9,16750.98,18145.06,53.9,11.7,0,3,1
PROP-000216,50,5.1,1412.0,3579.0,21.8,61.4,0,1,0
PROP-000217,44,2.9,2993.99,8928.36,15.3,23.0,0,0,0
PROP-000218,54,0.6,5563.29,15305.44,8.4,28.1,1,3,0
PROP-000219,36,3.6,1696.82,2520.93,31.9,17.3,0,3,0
PROP-000220,29,1.3,4325.54,15104.31,21.7,31.4,0,1,1
PROP-000221,35,0.8,1623.78,4046.61,34.1,26.3,2,4,1
PROP-000222,40,5.3,4414.64,14688.76,16.6,26.1,0,2,0
PROP-000223,40,5.4,4539.81,8985.01,30.4,25.2,0,2,0
PROP-000224,24,1.1,6798.29,20828.38,17.4,56.3,0,3,0
PROP-000225,39,1.8,5224.94,7376.42,18.8,21.4,0,3,0
PROP-000226,40,8.7,2481.49,2167.28,57.1,12.1,2,5,1
PROP-000227,68,3.9,4590.99,6360.92,33.2,26.3,2,3,0
PROP-000228,60,2.5,5368.28,14410.82,30.7,59.4,1,1,0
PROP-000229,27,2.4,2569.83,6464.21,16.3,6.3,0,0,0
PROP-000230,34,11.2,7951.1,5062.85,36.4,20.0,0,2,0
PROP-000231,20,1.4,6214.23,12206.99,25.7,96.3,0,4,0
PROP-000232,30,7.7,1668.87,2358.07,20.6,22.9,0,2,0
PROP-000233,41,4.1,4489.05,7174.16,5.9,22.7,2,5,0
PROP-000234,52,10.7,2386.81,8047.36,18.7,37.6,3,2,0
PROP-000235,29,2.4,1412.0,4184.12,18.7,47.9,1,1,0
PROP-000236,30,6.3,3140.79,8791.56,26.1,59.9,2,2,0
PROP-000237,18,0.1,3532.46,2784.48,20.4,40.9,0,3,0
PROP-000238,36,7.7,15862.92,30051.51,23.1,48.1,2,1,1
PROP-000239,25,3.3,3192.36,7978.2,27.2,91.2,2,5,1
PROP-000240,31,8.0,4530.49,2509.04,35.0,4.3,2,2,0
PROP-000241,27,6.3,5308.78,12233.27,39.6,21.9,0,3,0
PROP-000242,36,4.1,3551.33,11683.14,13.7,56.9,0,2,0
PROP-000243,18,0.1,5198.49,2745.93,49.1,60.2,0,3,0
PROP-000244,20,0.5,2871.13,1482.14,11.2,6.3,1,1,0
PROP-000245,63,0.8,2279.2,4902.11,18.5,27.3,4,1,0
PROP-000246,22,1.2,3102.55,5284.23,16.2,57.7,1,2,0
PROP-000247,24,2.0,2040.61,3475.58,40.6,33.2,0,1,0
PROP-000248,60,3.9,6300.64,7520.5,38.1,29.6,4,2,1
PROP-000249,72,0.9,4199.27,7457.85,12.7,18.6,0,3,0
PROP-000250,23,0.1,3260.51,9931.48,22.0,27.5,0,1,0
PROP-000251,33,8.3,6193.24,3403.15,16.3,29.3,0,2,0
PROP-000252,42,0.2,3052.51,2342.53,16.9,34.7,0,0,0
PROP-000253,58,9.4,1412.0,1000.0,12.2,71.5,0,2,0
PROP-000254,26,1.0,3158.56,8555.73,54.2,12.8,1,3,0
PROP-000255,35,4.6,6867.07,3435.18,47.1,48.7,3,5,1
PROP-000256,47,1.9,7939.64,20670.77,54.0,41.7,3,1,1
PROP-000257,43,10.8,2083.5,2364.14,27.0,11.1,0,2,0
PROP-000258,33,6.7,3053.88,8659.75,22.3,42.1,1,1,0
PROP-000259,36,3.9,6729.14,17109.24,38.4,40.8,0,1,0
PROP-000260,21,0.1,1775.62,4476.1,9.8,16.2,0,0,0
PROP-000261,35,3.2,3605.09,7721.26,58.2,24.5,0,3,0
PROP-000262,34,2.1,5233.13,18236.1,40.4,31.0,1,5,0
PROP-000263,40,4.3,10059.91,10444.7,58.9,23.7,0,2,0
PROP-000264,31,1.8,3287.91,9501.96,15.4,59.4,2,1,1
PROP-000265,43,6.4,1863.24,3961.14,35.8,39.9,0,1,0
PROP-000266,50,1.5,2708.96,7237.56,47.2,32.7,1,0,0
PROP-000267,39,1.1,18210.91,17028.98,22.9,72.4,0,2,0
PROP-000268,42,2.3,5225.53,6847.81,9.5,57.9,0,0,1
PROP-000269,38,0.9,9005.7,23443.77,25.2,19.4,0,4,1
PROP-000270,38,1.3,4301.71,9948.42,27.1,76.5,2,2,0
PROP-000271,29,3.8,2688.29,7034.44,25.2,20.4,2,5,0
PROP-000272,41,0.8,2280.72,6985.19,24.5,19.3,2,0,0
PROP-000273,36,5.1,3278.24,9485.62,29.5,21.6,3,3,0
PROP-000274,63,0.9,6677.92,6247.45,22.9,42.0,0,3,0
PROP-000275,56,8.1,1975.03,1291.53,40.6,5.6,0,1,0
PROP-000276,42,7.2,6683.86,21942.96,48.5,62.9,1,5,0
PROP-000277,28,0.6,2160.92,7281.36,27.0,4.9,1,1,0
PROP-000278,24,0.8,3609.37,7547.97,24.2,22.2,0,2,0
PROP-000279,52,6.7,4177.68,5925.0,22.4,18.5,0,2,0
PROP-000280,41,8.6,6221.14,3127.37,10.7,4.6,3,2,0
PROP-000281,43,3.9,3628.34,8195.53,22.0,57.3,0,3,0
PROP-000282,18,0.1,5926.87,19519.72,56.7,9.0,4,0,1
PROP-000283,49,3.7,3581.05,8446.21,28.5,77.3,0,1,0
PROP-000284,43,4.0,5455.43,11427.59,39.9,19.5,2,2,0
PROP-000285,24,3.2,4263.01,14492.08,21.6,73.0,0,1,0
PROP-000286,32,3.5,4859.37,7604.5,23.9,52.1,2,2,0
PROP-000287,41,5.2,4818.23,7986.56,27.2,20.8,0,2,0
PROP-000288,38,0.9,4066.68,12603.96,26.7,27.4,0,0,0
PROP-000289,34,5.6,8692.55,11280.44,35.0,77.1,0,0,0
PROP-000290,36,1.0,6168.18,3865.74,58.0,16.7,1,4,0
PROP-000291,34,2.3,4790.38,5412.31,35.0,52.9,2,0,0
PROP-000292,39,5.8,3118.73,10658.22,21.1,54.1,1,1,0
PROP-000293,55,1.7,18445.34,33874.34,7.2,50.9,0,3,0
PROP-000294,18,0.1,10887.44,13560.85,37.3,25.2,0,4,0
PROP-000295,35,3.6,2377.94,3712.67,15.1,47.3,0,0,0
PROP-000296,40,9.7,6222.93,7257.81,27.9,15.9,0,1,0
PROP-000297,41,5.3,9155.13,28353.86,3.0,13.1,0,0,0
PROP-000298,33,2.2,5836.44,7274.07,32.9,21.8,0,2,0
PROP-000299,18,0.1,4320.5,9142.89,8.3,24.2,3,0,0
PROP-000300,41,1.9,3002.64,7783.06,29.8,41.4,3,1,1
PROP-000301,58,2.1,5766.03,6947.07,21.7,34.3,3,2,0
PROP-000302,19,0.7,2521.86,8123.15,19.7,73.4,2,3,0
PROP-000303,48,5.8,3460.49,3525.87,47.1,13.2,0,0,0
PROP-000304,34,1.3,3175.47,2613.82,12.6,20.3,0,0,0
PROP-000305,37,1.8,5909.28,8506.85,32.7,56.8,0,4,0
PROP-000306,25,1.7,9842.6,8328.46,20.5,41.8,1,0,0
PROP-000307,33,7.0,3256.29,10030.93,63.6,21.2,0,1,1
PROP-000308,53,3.1,3452.0,9957.36,41.1,68.8,2,3,0
PROP-000309,44,11.2,9437.73,23094.25,24.9,62.0,0,3,0
PROP-000310,58,6.8,3153.63,7494.52,25.3,26.1,0,3,0
PROP-000311,52,4.3,1412.0,4618.73,11.6,61.3,3,1,0
PROP-000312,43,2.6,13228.43,14642.34,34.5,53.0,3,2,1
PROP-000313,58,5.6,7950.36,23744.58,27.6,41.5,0,3,0
PROP-000314,43,1.7,7042.93,17969.49,48.3,39.0,1,3,0
PROP-000315,47,1.2,5441.73,8131.74,10.5,65.4,0,3,0
PROP-000316,34,2.4,4143.6,11389.89,47.6,34.9,2,2,0
PROP-000317,38,6.5,1417.42,1283.16,62.2,17.1,0,1,0
PROP-000318,29,4.1,3815.43,7587.9,13.5,8.6,0,0,0
PROP-000319,49,2.0,3762.98,11194.89,46.7,74.8,3,0,0
PROP-000320,23,3.5,4012.95,5094.14,50.9,44.4,0,4,0
PROP-000321,47,1.1,6135.05,15144.15,27.7,39.5,2,2,0
PROP-000322,35,0.1,10731.04,5495.85,32.1,46.3,0,0,0
PROP-000323,52,2.7,4146.56,4755.64,42.5,58.0,3,3,1
PROP-000324,47,2.4,3835.0,2024.31,28.9,2.8,1,1,0
PROP-000325,59,3.5,10702.6,25792.18,13.1,37.2,0,5,0
PROP-000326,46,5.1,2694.67,8975.67,48.6,52.7,2,2,1
PROP-000327,19,0.7,4257.5,4130.16,19.5,56.6,2,0,0
PROP-000328,37,9.9,4413.03,8787.73,25.4,25.1,0,0,0
PROP-000329,23,1.4,2695.88,8993.39,34.4,80.6,1,2,0
PROP-000330,31,9.1,3536.44,6579.16,10.8,56.5,0,2,0
PROP-000331,56,1.1,3563.07,10091.35,34.2,64.6,2,3,0
PROP-000332,45,4.5,6910.21,9057.4,31.5,62.5,0,2,1
PROP-000333,29,0.1,3645.96,6372.38,5.6,81.2,0,2,0
PROP-000334,25,0.1,3707.26,11925.26,22.8,12.8,0,0,0
PROP-000335,38,1.7,5764.14,3181.42,39.4,67.2,0,1,0
PROP-000336,23,0.6,3240.49,9185.43,3.0,81.8,2,2,0
PROP-000337,29,4.4,2515.99,8714.56,6.4,49.6,0,1,0
PROP-000338,41,4.1,21326.81,50000.0,33.6,70.4,0,2,0
PROP-000339,51,2.2,4203.8,3365.44,31.8,61.0,0,1,0
PROP-000340,45,1.7,4974.95,16012.47,16.9,4.5,0,1,0
PROP-000341,18,0.1,3697.64,5740.37,30.4,44.0,2,0,1
PROP-000342,41,0.9,1762.47,1070.02,23.8,32.8,2,2,0
PROP-000343,38,4.2,3185.61,2003.89,21.0,20.6,3,2,1
PROP-000344,42,11.1,2224.95,4950.44,10.0,95.5,3,1,1
PROP-000345,57,1.4,6023.82,11505.91,37.5,31.0,1,2,0
PROP-000346,18,0.1,5577.47,7470.99,43.9,34.1,2,4,1
PROP-000347,30,8.4,6154.33,16801.41,51.7,75.8,2,3,1
PROP-000348,45,4.2,2407.44,1849.53,14.0,52.4,0,0,0
PROP-000349,19,0.7,1412.0,4335.88,25.0,12.2,5,1,0
PROP-000350,55,4.5,1412.0,3883.23,23.1,59.9,5,3,1
PROP-000351,42,2.4,5521.11,6350.38,17.5,59.2,2,3,0
PROP-000352,48,1.3,3424.78,4498.08,17.9,50.9,0,1,1
PROP-000353,31,9.1,2017.03,2440.9,16.2,45.4,0,1,0
PROP-000354,47,2.9,6037.39,4877.31,25.4,30.1,0,6,0
PROP-000355,50,0.7,7315.7,19201.83,31.8,61.5,0,1,0
PROP-000356,40,2.4,4188.28,9495.31,24.5,66.0,0,0,0
PROP-000357,40,1.1,3058.87,10022.46,45.2,48.7,2,1,1
PROP-000358,41,10.4,3794.59,11401.08,44.4,63.1,2,1,0
PROP-000359,27,5.7,8756.98,25710.65,21.7,49.5,0,4,0
PROP-000360,36,0.3,8180.98,17694.97,30.5,59.4,0,1,0
PROP-000361,36,2.3,3785.69,4658.6,37.2,78.2,0,2,0
PROP-000362,42,3.6,4707.11,11100.24,33.3,37.5,2,0,0
PROP-000363,49,2.2,65000.0,50000.0,20.1,42.5,0,0,0
PROP-000364,25,1.2,15426.77,24529.97,42.7,64.3,2,1,1
PROP-000365,36,10.5,4460.95,6497.32,17.1,68.7,1,1,0
PROP-000366,55,0.1,10240.62,19984.07,38.8,31.6,1,4,1
PROP-000367,29,2.4,5468.47,12240.49,3.0,69.8,1,2,0
PROP-000368,28,2.8,10572.72,5330.08,44.6,12.8,0,4,0
PROP-000369,40,0.6,2830.88,4120.86,25.0,64.0,0,5,1
PROP-000370,48,4.5,6778.59,9777.01,54.7,17.2,0,2,0
PROP-000371,38,1.8,8031.96,5845.16,52.5,66.7,2,2,1
PROP-000372,53,1.2,4299.46,5593.64,21.9,32.0,0,0,0
PROP-000373,48,3.7,3373.08,2355.24,36.6,28.0,2,1,0
PROP-000374,48,1.0,4991.96,16114.47,30.0,29.4,0,2,0
PROP-000375,44,1.4,1932.76,2145.11,53.0,60.9,3,4,1
